USN,LINE,WORKSTATION,STAGE,TRNDATA,TRNDATE,PASSCOUNT,RESULTFLAG,USERID,INSERTTIME,LINENO,VENDOR,A_ERRORCODE,AQM_ERRORCODE
USN000001,LINE005,WORKSTATION003,M5,USN000927,25-08-24 13:19:58,1,T,USER020,25-08-24 21:48:02,4,VENDOR3,,
USN000002,LINE002,WORKSTATION001,M1,USN000565,25-08-25 17:59:05,0,F,USER013,25-08-25 00:36:06,5,VENDOR1,,
USN000003,LINE002,WORKSTATION001,M4,USN000310,25-08-26 01:09:42,0,T,USER006,25-08-26 21:43:39,2,VENDOR5,K6611815,
USN000004,LINE005,WORKSTATION009,M2,USN000615,25-08-27 15:40:42,2,T,USER005,25-08-27 06:07:24,1,VENDOR1,,
USN000005,LINE005,WORKSTATION001,M1,USN000892,25-08-28 06:28:05,1,F,USER014,25-08-28 12:40:34,4,VENDOR1,,ERROR3
USN000006,LINE003,WORKSTATION008,M2,USN000176,25-08-29 03:24:07,0,T,USER018,25-08-29 22:42:52,1,VENDOR3,,ERROR2
USN000007,LINE004,WORKSTATION010,M2,USN000835,25-08-30 08:44:46,0,T,USER011,25-08-30 04:37:49,1,VENDOR3,,
USN000008,LINE001,WORKSTATION008,M3,USN000506,25-08-31 14:48:57,0,F,USER004,25-08-31 00:44:26,5,VENDOR1,,
USN000009,LINE005,WORKSTATION006,M5,USN000105,25-09-01 22:40:55,0,T,USER016,25-09-01 20:39:11,5,VENDOR3,,
USN000010,LINE004,WORKSTATION002,M5,USN000436,25-09-02 01:18:42,0,T,USER016,25-09-02 03:24:45,1,VENDOR2,,
USN000011,LINE003,WORKSTATION008,M3,USN000903,25-09-03 21:32:55,2,T,USER004,25-09-03 13:27:49,2,VENDOR5,,
USN000012,LINE004,WORKSTATION010,M2,USN000022,25-09-04 04:10:41,3,T,USER010,25-09-04 13:46:16,2,VENDOR3,,
USN000013,LINE002,WORKSTATION004,M3,USN000041,25-09-05 16:21:22,3,T,USER011,25-09-05 12:04:42,5,VENDOR3,,
USN000014,LINE004,WORKSTATION010,M3,USN000168,25-09-06 23:26:52,1,T,USER001,25-09-06 02:32:51,1,VENDOR5,,
USN000015,LINE004,WORKSTATION007,M2,USN000819,25-09-07 21:53:18,1,T,USER012,25-09-07 10:25:48,1,VENDOR5,,
USN000016,LINE005,WORKSTATION010,M1,USN000771,25-09-08 01:27:26,3,T,USER006,25-09-08 23:48:06,1,VENDOR5,,
USN000017,LINE001,WORKSTATION006,M1,USN000236,25-09-09 18:26:10,3,F,USER019,25-09-09 19:09:25,3,VENDOR5,,
USN000018,LINE003,WORKSTATION007,M4,USN000867,25-09-10 22:15:51,0,T,USER008,25-09-10 17:26:21,4,VENDOR4,,
